	Astrocyte	Astrocyte,Neurons	Astrocyte,Oligos	Blood	Immune	Neurons	Neurons,Cycling	Neurons,Oligos	Oligos	Vascular	dummy
Spotx69	7.1875955e-10	0.059850547	0.2652173	0.20019029	7.184279e-10	0.13250168	0.20576476	0.088507764	0.04601848	7.183703e-10	0.0019491436
Spotx70	0.11751214	0.020286191	6.2381356e-10	0.13736783	6.240897e-10	6.240373e-10	0.018833404	6.2403255e-10	0.51689136	0.18910901	6.2396704e-10
Spotx71	9.2398594e-10	0.15175332	9.236705e-10	0.18837054	9.239242e-10	0.2122982	0.26838854	9.237498e-10	0.07729638	0.10189293	9.238503e-10
Spotx72	0.5570372	2.0505682e-09	2.0502944e-09	0.28506026	0.1024945	2.0497235e-09	0.055408034	2.049915e-09	2.0508262e-09	2.0496218e-09	2.050885e-09
Spotx73	0.19749062	1.2539713e-09	0.005556242	0.13601515	0.0763048	1.2543039e-09	0.15774569	1.254158e-09	0.42688748	1.2542822e-09	1.2537275e-09
Spotx74	0.028460385	9.2644387e-10	9.268964e-10	0.29227173	9.2685926e-10	9.264899e-10	0.6202393	9.266489e-10	0.04564756	0.013381053	9.264316e-10
Spotx75	0.04906361	3.5814474e-10	0.06146836	0.4619131	3.5806685e-10	3.5797126e-10	0.031248655	3.5804498e-10	0.3464529	0.048679747	0.001173572
Spotx76	0.1173484	4.996529e-10	0.19706434	0.1685808	0.08279917	5.0013155e-10	0.26296887	0.027934633	0.13566945	4.9984167e-10	0.007634235
Spotx77	1.1592572e-09	0.37770274	0.24430679	1.1590605e-09	0.15514466	0.1448062	1.1594519e-09	1.1591379e-09	1.1592837e-09	0.071004786	0.0070347106
Spotx78	9.132261e-10	9.1287783e-10	9.1324526e-10	0.03391853	0.1643804	0.0109112235	0.32061106	9.128152e-10	9.1289176e-10	0.46396536	0.006213411
Spotx79	0.03229216	0.1804846	0.0854886	0.08595219	5.7102423e-10	0.17253652	0.0962949	5.709883e-10	0.18877073	0.15323497	0.0049452614
Spotx80	3.8032427e-10	0.03886104	3.8041564e-10	0.04924585	3.8039968e-10	0.8955776	3.8024592e-10	3.8026254e-10	3.8019804e-10	3.8036993e-10	0.01631557
Spotx81	0.021016587	0.1677721	0.24310951	0.22905774	2.0512552e-09	0.2230427	0.07611136	2.050516e-09	2.0509423e-09	0.03851799	0.0013720072
Spotx82	1.451699e-09	1.4519371e-09	1.451126e-09	1.4520896e-09	1.4518874e-09	0.4885419	0.1612094	1.4520479e-09	1.4514028e-09	0.33605927	0.014189455
Spotx83	3.7841938e-10	0.33279493	3.7825124e-10	0.076031424	0.031090407	0.079415865	0.13657649	0.21381666	0.08639963	0.03968488	0.0041896445
Spotx84	5.71695e-10	5.718357e-10	5.719186e-10	5.719186e-10	5.7198957e-10	0.21889478	5.718368e-10	0.43653873	0.32256743	5.719579e-10	0.021999102
Spotx85	0.09866813	1.4912626e-09	0.022015518	0.22089218	1.4913365e-09	1.4913109e-09	0.23072043	0.34083673	1.4914558e-09	0.07047309	0.016393859
Spotx86	0.043087877	6.2917005e-10	0.16173562	6.290332e-10	0.15381195	6.2891087e-10	6.289084e-10	0.01221327	0.61774445	6.289181e-10	0.011406894
Spotx87	0.5941317	1.1370702e-09	0.082379654	1.1376668e-09	0.18037799	1.1371417e-09	1.1371136e-09	1.1373392e-09	0.14311066	1.1370399e-09	1.1371766e-09
Spotx88	0.036174618	7.2927064e-10	0.03485015	0.3627437	0.04844906	7.2916634e-10	7.29471e-10	7.293485e-10	0.49125656	0.011080607	0.015445286
Spotx89	3.7017095e-10	0.06982357	3.7058207e-10	0.40054148	3.702585e-10	3.7064143e-10	0.30547372	0.11668068	0.033233494	0.072253495	0.0019936694
Spotx90	0.30717066	0.003998139	0.19891645	1.1259381e-09	0.16641861	0.23802172	1.1258544e-09	1.1258587e-09	0.08298833	1.1256999e-09	0.002486077
Spotx91	0.03221092	4.4500933e-10	0.06254382	4.4492954e-10	4.4502882e-10	4.4484727e-10	0.46230498	4.449168e-10	0.027379015	0.41556126	4.4485657e-10
Spotx92	0.08760922	6.352336e-10	0.036265686	6.347394e-10	6.3456995e-10	6.347637e-10	6.3463657e-10	0.037379764	0.6444451	0.17242558	0.021874579
Spotx93	3.8673129e-10	0.30427667	0.10034304	0.121341884	0.036313236	0.131604	0.2797181	3.8664277e-10	0.015639512	0.009552033	0.0012114682
Spotx94	1.2709598e-09	1.2710472e-09	1.2713914e-09	1.2708823e-09	0.5668434	1.2706666e-09	0.10873702	1.2706156e-09	0.3244196	1.2712387e-09	1.271309e-09
Spotx95	1.2862968e-09	0.013527086	0.16513781	0.20377804	0.36069402	1.2862428e-09	1.2860589e-09	1.2859902e-09	0.017179212	0.2396838	1.286574e-09
Spotx96	1.0113939e-09	0.14453976	0.08086948	0.35178483	0.14660193	0.25221217	0.018600678	1.0109927e-09	1.0112646e-09	1.0113265e-09	0.00539109
Spotx97	0.13448073	0.075948566	0.15463328	4.660216e-10	0.015855886	4.661647e-10	0.14696436	4.6586074e-10	0.47211722	4.6601273e-10	4.66227e-10
Spotx98	0.017957374	6.6708444e-10	6.6704636e-10	0.09257881	0.040928867	6.6714423e-10	0.6927286	6.6679445e-10	6.672066e-10	0.15580639	6.6685424e-10
